Hour,Day,Month,Year,PM2.5,Mean,AQI,PM10,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad
0,1,1,2018,66.0,66.0,89.0,106.0,1.7,81.0,4.0,15.0,50.0,734.625,0.0250000009770002,267760.0,275.825,60.00331999206543,694.3125
1,1,1,2018,64.0,65.0,86.0,95.0,1.6,78.0,3.0,11.0,50.0,734.625,0.0250000009770002,267760.0,275.825,60.00331999206543,694.3125
2,1,1,2018,54.0,61.333333333333336,74.0,88.0,1.6,76.0,3.0,9.0,50.0,734.625,0.0250000009770002,267760.0,275.825,60.00331999206543,694.3125
3,1,1,2018,57.0,60.25,78.0,93.0,1.6,75.0,2.0,7.0,50.0,736.6875,0.0250000007739998,267944.0,275.8863000488281,60.00543199157715,779.5
4,1,1,2018,58.0,59.8,79.0,92.0,1.8,77.0,2.0,10.0,50.0,736.6875,0.0250000007739998,267944.0,275.8863000488281,60.00543199157715,779.5
5,1,1,2018,60.0,59.833333333333336,81.0,80.0,1.8,74.0,2.0,11.0,50.0,736.6875,0.0250000007739998,267944.0,275.8863000488281,60.00543199157715,779.5
6,1,1,2018,43.0,57.42857142857143,60.0,69.0,1.4,66.0,2.0,7.0,50.0,738.4375,0.0250000007710009,267476.0,275.909100036621,60.00366799163818,771.75
7,1,1,2018,28.0,53.75,42.0,42.0,0.9,59.0,2.0,5.0,50.0,738.4375,0.0250000007710009,267476.0,275.909100036621,60.00366799163818,771.75
8,1,1,2018,22.0,50.22222222222222,41.0,41.0,1.0,60.0,2.0,6.0,50.0,738.4375,0.0250000007710009,267476.0,275.909100036621,60.00366799163818,771.75
9,1,1,2018,16.0,46.8,30.0,30.0,0.9,49.0,9.0,5.0,50.0,740.125,0.0250000009979996,267728.0,275.8955999755859,60.00313999176026,685.5
10,1,1,2018,10.0,43.45454545454545,21.0,21.0,0.6,35.0,28.0,3.0,50.0,740.125,0.0250000009979996,267728.0,275.8955999755859,60.00313999176026,685.5
11,1,1,2018,7.0,40.41666666666666,14.0,14.0,0.4,22.0,45.0,2.0,50.0,740.125,0.0250000009979996,267728.0,275.8955999755859,60.00313999176026,685.5
12,1,1,2018,15.0,38.46153846153846,21.0,12.333333333333336,0.4,20.0,52.0,2.0,50.0,737.8125,0.0250000012660007,267964.0,275.85880004882813,60.00128399658203,685.0
13,1,1,2018,9.0,36.35714285714285,18.0,10.666666666666666,0.4,18.0,56.0,2.0,50.0,737.8125,0.0250000012660007,267964.0,275.85880004882813,60.00128399658203,685.0
14,1,1,2018,7.0,34.4,18.0,9.0,0.4,18.0,58.0,2.0,50.0,737.8125,0.0250000012660007,267964.0,275.85880004882813,60.00128399658203,685.0
15,1,1,2018,4.0,32.5,18.0,14.0,0.4,21.0,56.0,2.0,50.0,737.9375,0.0250000015420001,268212.0,275.8529000854492,60.00181199645996,685.0
16,1,1,2018,20.0,31.764705882352946,29.0,22.0,0.5,38.0,42.0,4.0,50.0,737.9375,0.0250000015420001,268212.0,275.8529000854492,60.00181199645996,685.0
17,1,1,2018,23.0,31.27777777777778,33.0,31.0,0.6,51.0,27.0,7.0,50.0,737.9375,0.0250000015420001,268212.0,275.8529000854492,60.00181199645996,685.0
18,1,1,2018,34.0,31.42105263157895,52.0,54.0,1.2,74.0,5.0,9.0,50.0,735.6875,0.0250000015270002,268404.0,275.8242999267578,60.00183199310303,685.0
19,1,1,2018,60.0,32.85,81.0,84.0,1.8,82.0,2.0,17.0,50.0,735.6875,0.0250000015270002,268404.0,275.8242999267578,60.00183199310303,685.0
20,1,1,2018,75.0,34.857142857142854,100.0,112.0,1.8,84.0,2.0,17.0,50.0,735.6875,0.0250000015270002,268404.0,275.8242999267578,60.00183199310303,685.0
21,1,1,2018,74.0,36.63636363636363,99.0,122.0,1.8,76.0,2.0,17.0,50.0,734.8125,0.0250000016010012,268728.0,275.81089996337886,60.0015239944458,685.0
22,1,1,2018,59.0,37.60869565217392,80.0,96.0,1.4,58.0,10.0,14.0,50.0,734.8125,0.0250000016010012,268728.0,275.81089996337886,60.0015239944458,685.0
23,1,1,2018,54.0,38.29166666666666,74.0,79.0,1.2,64.0,3.0,9.0,50.0,734.8125,0.0250000016010012,268728.0,275.81089996337886,60.0015239944458,685.0
0,2,1,2018,40.0,38.36,56.0,58.0,0.9,49.0,13.0,6.0,50.0,740.3125,0.0250000016980003,269264.0,275.8347998046874,60.00340799713135,695.1875
1,2,1,2018,32.0,38.11538461538461,46.0,38.0,0.9,53.0,9.0,4.0,50.0,740.3125,0.0250000016980003,269264.0,275.8347998046874,60.00340799713135,695.1875
2,2,1,2018,46.0,38.407407407407405,64.0,55.0,1.7,68.0,2.0,5.0,50.0,740.3125,0.0250000016980003,269264.0,275.8347998046874,60.00340799713135,695.1875
3,2,1,2018,47.0,38.71428571428572,65.0,63.0,1.6,66.0,2.0,7.0,50.0,736.625,0.0250000008530002,269284.0,275.88209991455074,60.00959579315185,779.125
4,2,1,2018,51.0,39.13793103448276,70.0,75.0,1.8,67.0,3.0,12.0,50.0,736.625,0.0250000008530002,269284.0,275.88209991455074,60.00959579315185,779.125
5,2,1,2018,52.0,39.56666666666667,71.0,75.0,1.8,65.0,3.0,11.0,50.0,736.625,0.0250000008530002,269284.0,275.88209991455074,60.00959579315185,779.125
6,2,1,2018,57.0,39.266666666666666,78.0,73.0,1.7,66.0,3.0,11.0,50.0,748.625,0.0250000008700005,269064.0,275.9032998657226,60.0072559967041,739.875
7,2,1,2018,56.0,39.0,76.0,71.0,1.8,68.0,3.0,12.0,50.0,748.625,0.0250000008700005,269064.0,275.9032998657226,60.0072559967041,739.875
8,2,1,2018,51.0,38.9,70.0,72.0,1.8,59.0,3.0,13.0,50.0,748.625,0.0250000008700005,269064.0,275.9032998657226,60.0072559967041,739.875
9,2,1,2018,49.0,38.63333333333333,68.0,68.0,1.7,58.0,4.0,14.0,50.0,743.625,0.0250000007659997,269260.0,275.89509979248044,60.00841199493408,685.5
10,2,1,2018,41.0,38.06666666666667,58.0,66.0,1.8,56.0,8.0,15.0,50.0,743.625,0.0250000007659997,269260.0,275.89509979248044,60.00841199493408,685.5
11,2,1,2018,34.0,37.2,52.0,53.0,1.4,44.0,24.0,14.0,50.0,743.625,0.0250000007659997,269260.0,275.89509979248044,60.00841199493408,685.5
12,2,1,2018,30.0,36.766666666666666,43.0,48.0,1.1,35.0,35.0,12.0,50.0,742.5,0.0250000006250012,269284.0,275.8858999633789,60.00537599182129,685.0
13,2,1,2018,24.0,36.63333333333333,43.0,43.0,0.75,26.0,34.0,10.0,50.0,742.5,0.0250000006250012,269284.0,275.8858999633789,60.00537599182129,685.0
14,2,1,2018,13.0,36.333333333333336,30.0,30.0,0.4,17.0,47.0,6.0,50.0,742.5,0.0250000006250012,269284.0,275.8858999633789,60.00537599182129,685.0
15,2,1,2018,13.0,36.23333333333333,28.0,28.0,0.4,19.0,60.0,6.0,50.0,740.8125,0.0250000005879998,269284.0,275.86669982910155,60.00668399810791,685.0
16,2,1,2018,10.0,36.23333333333333,26.0,26.0,0.2,20.0,58.0,5.0,50.0,740.8125,0.0250000005879998,269284.0,275.86669982910155,60.00668399810791,685.0
17,2,1,2018,8.0,36.266666666666666,26.0,26.0,0.2,21.0,55.0,6.0,50.0,740.8125,0.0250000005879998,269284.0,275.86669982910155,60.00668399810791,685.0
18,2,1,2018,9.0,36.06666666666667,31.0,31.0,0.3,37.0,37.0,6.0,50.0,739.8125,0.0250000006710011,269284.0,275.85199981689453,60.008215995788575,685.0
19,2,1,2018,14.0,36.23333333333333,35.0,35.0,0.4,46.0,26.0,5.0,50.0,739.8125,0.0250000006710011,269284.0,275.85199981689453,60.008215995788575,685.0
