Hour,Day,Month,Year,PM2.5,Mean,AQI,PM10,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad
0,1,1,2018,22.0,22.0,53.0,56.0,1.2,51.0,6.0,16.0,50.0,730.0,0.0250000007100012,253032.0,275.77149993896484,60.00167199707031,693.5
1,1,1,2018,28.0,25.0,56.0,61.0,1.1,51.0,4.0,18.0,50.0,730.0,0.0250000007100012,253032.0,275.77149993896484,60.00167199707031,693.5
2,1,1,2018,30.0,26.666666666666668,60.0,70.0,1.2,63.0,2.0,18.0,50.0,730.0,0.0250000007100012,253032.0,275.77149993896484,60.00167199707031,693.5
3,1,1,2018,37.0,29.25,58.0,65.0,1.2,60.0,2.0,18.0,50.0,732.3125,0.0250000006170012,253792.0,275.8354998779297,60.00399199676514,778.625
4,1,1,2018,33.0,30.0,57.0,63.0,1.4,61.0,2.0,18.0,50.0,732.3125,0.0250000006170012,253792.0,275.8354998779297,60.00399199676514,778.625
5,1,1,2018,30.0,30.0,57.0,63.0,1.4,63.0,2.0,18.0,50.0,732.3125,0.0250000006170012,253792.0,275.8354998779297,60.00399199676514,778.625
6,1,1,2018,25.0,29.285714285714285,50.0,50.0,1.4,60.0,2.0,18.0,50.0,734.6875,0.0250000005729999,253336.0,275.8707000732422,60.0024999923706,772.1875
7,1,1,2018,31.0,29.5,57.0,64.0,1.4,60.0,2.0,18.0,50.0,734.6875,0.0250000005729999,253336.0,275.8707000732422,60.0024999923706,772.1875
8,1,1,2018,31.0,29.666666666666668,57.0,63.0,1.4,54.0,2.0,18.0,50.0,734.6875,0.0250000005729999,253336.0,275.8707000732422,60.0024999923706,772.1875
9,1,1,2018,41.0,30.8,81.0,112.0,1.4,55.0,2.0,18.0,50.0,736.3125,0.0250000006850008,253640.0,275.8592999267578,60.00271199798584,685.5
10,1,1,2018,40.0,31.63636363636364,77.0,103.0,1.4,43.0,15.0,18.0,50.0,736.3125,0.0250000006850008,253640.0,275.8592999267578,60.00271199798584,685.5
11,1,1,2018,45.0,32.75,63.0,73.0,1.4,41.0,22.0,18.0,50.0,736.3125,0.0250000006850008,253640.0,275.8592999267578,60.00271199798584,685.5
12,1,1,2018,46.0,33.76923076923077,64.0,67.0,1.4,34.0,30.0,18.0,50.0,733.1875,0.0250000007760003,253576.0,275.8144000244141,60.000643997192384,685.0
13,1,1,2018,43.0,34.42857142857143,60.0,58.0,1.4,33.0,34.0,18.0,50.0,733.1875,0.0250000007760003,253576.0,275.8144000244141,60.000643997192384,685.0
14,1,1,2018,32.0,34.266666666666666,46.0,45.0,1.3,27.0,40.0,16.0,50.0,733.1875,0.0250000007760003,253576.0,275.8144000244141,60.000643997192384,685.0
15,1,1,2018,30.0,34.0,47.0,47.0,1.3,29.0,39.0,15.0,50.0,731.8125,0.025000000798,253852.0,275.794400024414,60.00198799133301,685.0
16,1,1,2018,25.0,33.47058823529412,43.0,43.0,1.2,29.0,39.0,12.0,50.0,731.8125,0.025000000798,253852.0,275.794400024414,60.00198799133301,685.0
17,1,1,2018,33.0,33.44444444444444,57.0,63.0,1.3,47.0,21.0,12.0,50.0,731.8125,0.025000000798,253852.0,275.794400024414,60.00198799133301,685.0
18,1,1,2018,34.0,33.473684210526315,71.0,92.0,1.3,59.0,9.0,8.0,50.0,730.0,0.0250000008199997,253544.0,275.76709991455084,60.00240399169922,685.0
19,1,1,2018,29.0,33.25,66.0,82.0,1.3,66.0,3.0,9.0,50.0,730.0,0.0250000008199997,253544.0,275.76709991455084,60.00240399169922,685.0
20,1,1,2018,24.0,32.80952380952381,57.0,64.0,1.1,57.0,10.0,10.0,50.0,730.0,0.0250000008199997,253544.0,275.76709991455084,60.00240399169922,685.0
21,1,1,2018,35.0,32.90909090909091,65.0,79.0,1.2,65.0,2.0,13.0,50.0,730.5625,0.0250000009970013,254240.0,275.7694998168945,60.00078799438477,685.0
22,1,1,2018,49.0,33.608695652173914,75.0,99.0,1.4,77.0,2.0,18.0,50.0,730.5625,0.0250000009970013,254240.0,275.7694998168945,60.00078799438477,685.0
23,1,1,2018,37.0,33.75,68.0,85.0,1.4,68.0,2.0,18.0,50.0,730.5625,0.0250000009970013,254240.0,275.7694998168945,60.00078799438477,685.0
0,2,1,2018,37.0,33.88,70.0,89.0,1.4,66.0,2.0,18.0,50.0,734.9375,0.0250000010010004,254884.0,275.79799987792967,60.00599999237061,694.0
1,2,1,2018,54.0,34.65384615384615,100.0,149.0,1.4,58.0,2.0,18.0,50.0,734.9375,0.0250000010010004,254884.0,275.79799987792967,60.00599999237061,694.0
2,2,1,2018,45.0,35.03703703703704,102.0,153.0,1.4,60.0,2.0,18.0,50.0,734.9375,0.0250000010010004,254884.0,275.79799987792967,60.00599999237061,694.0
3,2,1,2018,36.0,35.07142857142857,58.0,66.0,0.6,58.0,2.0,17.0,50.0,732.875,0.0250000006600003,254884.0,275.84139984130854,60.01145599365234,778.5
4,2,1,2018,34.0,35.03448275862069,59.0,67.0,0.5,58.0,2.0,16.0,50.0,732.875,0.0250000006600003,254884.0,275.84139984130854,60.01145599365234,778.5
5,2,1,2018,36.0,35.06666666666667,58.0,65.0,0.5,55.0,2.0,16.0,50.0,732.875,0.0250000006600003,254884.0,275.84139984130854,60.01145599365234,778.5
